ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma20,ma60,upper_channel,lower_channel,mid_channel,tr,atr,signal,position,entry_price,stop_loss,trade_type,daily_return,strategy_return,strategy_nav,buy_hold_nav
688146.SH,2025-11-07,44.1,47.47,43.81,45.99,44.75,1.24,2.7709,119230.58,549386.186,43.08,41.958,52.4,37.69,45.045,3.6599999999999966,3.409285714285715,0,1,47.2,42.79142857142857,,0.027709497206704015,0.027709497206704015,1.0892487989991602,1.590799031476999
688146.SH,2025-11-10,46.41,47.28,45.05,45.45,45.99,-0.54,-1.1742,110828.25,511388.247,43.1625,42.136,52.4,37.69,45.045,2.230000000000004,3.500000000000001,0,1,47.2,42.79142857142857,,-0.011741682974559686,-0.011741682974559686,1.0764591849208922,1.5721203735731595
688146.SH,2025-11-11,45.9,46.19,44.3,44.6,45.45,-0.85,-1.8702,82727.54,372861.547,43.310500000000005,42.29283333333333,52.4,38.21,45.305,1.8900000000000006,3.5700000000000007,0,1,47.2,42.79142857142857,,-0.018701870187018743,-0.018701870187018743,1.0563273849828776,1.542718782428227
688146.SH,2025-11-12,44.3,44.6,42.44,43.48,44.6,-1.12,-2.5112,78881.82,340273.758,43.371500000000005,42.3945,52.4,43.21,47.805,2.1600000000000037,3.6464285714285722,0,1,47.2,42.79142857142857,,-0.025112107623318503,-0.025112107623318503,1.029800778005729,1.5039778623313744
688146.SH,2025-11-13,43.2,45.99,42.99,44.35,43.48,0.87,2.0009,83413.43,374435.279,43.543,42.386,52.4,42.44,47.42,3.0,3.7800000000000007,0,1,47.2,42.79142857142857,,0.020009199632014862,0.020009199632014862,1.05040626735405,1.534071255620894
688146.SH,2025-11-14,43.97,43.97,42.01,42.02,44.35,-2.33,-5.2537,75520.91,322856.324,43.673,42.40916666666666,52.4,42.44,47.42,2.3400000000000034,3.675714285714286,-1,0,,,卖出,-0.05253664036076655,-0.05253664036076655,0.995221451053375,1.4534763057765494
688146.SH,2025-11-17,43.1,45.8,43.1,43.24,42.02,1.22,2.9034,94991.32,423875.212,43.8735,42.43083333333333,52.4,42.01,47.205,3.779999999999994,3.4335714285714287,0,0,,,,0.029033793431699095,0.0,0.995221451053375,1.4956762365963348
688146.SH,2025-11-18,43.26,45.2,42.24,43.49,43.24,0.25,0.5782,90323.73,394868.46,44.0465,42.48166666666667,52.4,42.01,47.205,2.960000000000001,3.1164285714285715,0,0,,,,0.005781683626272072,0.0,0.995221451053375,1.504323763403668
688146.SH,2025-11-19,43.0,45.1,43.0,44.13,43.49,0.64,1.4716,88147.07,388117.775,44.278000000000006,42.5575,52.4,42.01,47.205,2.1000000000000014,2.9092857142857147,0,0,,,,0.014716026672798366,0.0,0.995221451053375,1.5264614320304406
688146.SH,2025-11-20,44.77,44.79,41.56,41.75,44.13,-2.38,-5.3932,81801.48,349925.472,44.39,42.582,52.4,42.01,47.205,3.229999999999997,2.867142857142857,0,0,,,,-0.05393156582823477,-0.0,0.995221451053375,1.4441369768246293
