ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma20,ma60
688146.SH,2026-01-29,48.26,48.5,45.92,45.95,48.45,-2.5,-5.16,53205.02,250041.969,45.7865,42.913833333333336
688146.SH,2026-01-30,45.89,46.59,44.28,45.21,45.95,-0.74,-1.6104,49875.58,225856.855,46.027,42.90883333333333
688146.SH,2026-02-02,44.85,45.49,42.3,42.3,45.21,-2.91,-6.4366,55109.37,238477.735,46.033,42.868
688146.SH,2026-02-03,42.8,43.44,42.39,43.33,42.3,1.03,2.435,36333.77,156259.883,46.071,42.82366666666667
688146.SH,2026-02-04,42.94,43.19,41.93,42.38,43.33,-0.95,-2.1925,34084.71,144822.811,45.9505,42.7725
688146.SH,2026-02-05,42.1,42.44,41.13,42.3,42.38,-0.08,-0.1888,34463.91,144069.823,45.790499999999994,42.73416666666667
688146.SH,2026-02-06,42.24,42.75,41.64,42.02,42.3,-0.28,-0.6619,34720.06,146890.514,45.658500000000004,42.709833333333336
688146.SH,2026-02-09,45.58,46.55,44.13,44.44,42.02,2.42,5.7592,85227.88,382972.87,45.6165,42.711333333333336
688146.SH,2026-02-10,44.68,45.49,44.3,44.69,44.44,0.25,0.5626,59719.76,267692.203,45.672000000000004,42.755833333333335
688146.SH,2026-02-11,44.66,45.36,44.19,44.34,44.69,-0.35,-0.7832,37062.91,165877.797,45.721,42.774166666666666
688146.SH,2026-02-12,44.17,44.78,44.1,44.5,44.34,0.16,0.3608,36467.4,162125.169,45.693,42.791000000000004
688146.SH,2026-02-13,44.5,45.35,43.84,43.84,44.5,-0.66,-1.4831,51184.04,228475.193,45.5515,42.78616666666667
688146.SH,2026-02-24,44.8,45.35,44.0,44.66,43.84,0.82,1.8704,48854.22,219236.806,45.355,42.834666666666664
688146.SH,2026-02-25,44.66,50.97,44.66,50.97,44.66,6.31,14.129,192824.37,936854.881,45.5335,43.0125
688146.SH,2026-02-26,48.65,49.5,47.82,49.28,50.97,-1.69,-3.3157,135228.75,657910.397,45.528999999999996,43.15383333333333
688146.SH,2026-02-27,48.89,49.2,47.61,48.59,49.28,-0.69,-1.4002,73423.83,355910.154,45.556,43.295833333333334
688146.SH,2026-03-02,48.96,49.48,48.15,48.59,48.59,0.0,0.0,89411.28,435298.744,45.5635,43.446999999999996
688146.SH,2026-03-03,48.5,49.17,46.63,46.73,48.59,-1.86,-3.8279,92708.94,442226.75,45.5305,43.56733333333333
688146.SH,2026-03-04,46.06,47.44,44.9,45.23,46.73,-1.5,-3.2099,77750.38,358004.997,45.39,43.650166666666664
688146.SH,2026-03-05,46.06,46.96,44.81,45.45,45.23,0.22,0.4864,65378.46,300925.755,45.239999999999995,43.729000000000006
688146.SH,2026-03-06,45.35,46.12,44.72,45.53,45.45,0.08,0.176,48952.19,223116.769,45.219,43.82133333333333
688146.SH,2026-03-09,45.08,45.1,42.9,44.14,45.53,-1.39,-3.0529,70398.72,308858.419,45.165499999999994,43.898
688146.SH,2026-03-10,44.81,45.15,43.82,44.58,44.14,0.44,0.9968,58880.8,262042.256,45.2795,43.98866666666667
688146.SH,2026-03-11,44.6,46.55,44.58,45.4,44.58,0.82,1.8394,72881.27,331960.829,45.382999999999996,44.082
688146.SH,2026-03-12,45.46,46.88,44.51,46.05,45.4,0.65,1.4317,106057.26,487007.129,45.566500000000005,44.17916666666667
688146.SH,2026-03-13,46.51,47.68,44.65,45.85,46.05,-0.2,-0.4343,122281.48,560146.503,45.74400000000001,44.27816666666666
688146.SH,2026-03-16,45.77,46.52,43.9,44.56,45.85,-1.29,-2.8135,103541.6,466289.063,45.870999999999995,44.357
688146.SH,2026-03-17,44.61,44.63,42.2,42.2,44.56,-2.36,-5.2962,87986.49,378163.18,45.759,44.40466666666667
688146.SH,2026-03-18,42.4,42.5,41.57,42.12,42.2,-0.08,-0.1896,48140.65,202107.166,45.6305,44.4435
688146.SH,2026-03-19,41.85,43.88,41.14,42.24,42.12,0.12,0.2849,87048.23,370481.632,45.5255,44.477000000000004
688146.SH,2026-03-20,41.9,44.15,41.5,41.66,42.24,-0.58,-1.3731,83559.75,357773.982,45.383500000000005,44.48016666666667
688146.SH,2026-03-23,41.12,44.1,41.08,42.08,41.66,0.42,1.0082,112670.59,481258.892,45.2955,44.488166666666665
688146.SH,2026-03-24,42.14,42.5,40.08,41.11,42.08,-0.97,-2.3051,88701.53,362224.264,45.118,44.49483333333333
688146.SH,2026-03-25,40.8,41.94,40.75,41.18,41.11,0.07,0.1703,59524.55,245778.978,44.6285,44.50833333333333
688146.SH,2026-03-26,41.17,41.75,40.66,40.83,41.18,-0.35,-0.8499,50992.17,210025.643,44.206,44.51133333333333
688146.SH,2026-03-27,40.8,43.18,40.57,42.58,40.83,1.75,4.2861,67634.51,284507.686,43.9055,44.538
688146.SH,2026-03-30,42.6,44.0,42.26,43.84,42.58,1.26,2.9591,68641.78,296836.349,43.668,44.573166666666665
688146.SH,2026-03-31,43.2,43.59,42.5,42.56,43.84,-1.28,-2.9197,50706.84,217931.673,43.4595,44.58633333333333
688146.SH,2026-04-01,43.36,43.51,42.61,42.95,42.56,0.39,0.9164,31858.74,136593.313,43.3455,44.61016666666667
688146.SH,2026-04-02,42.53,43.68,42.26,42.68,42.95,-0.27,-0.6286,35447.46,152085.661,43.207,44.647333333333336
688146.SH,2026-04-03,46.46,51.22,45.46,51.22,42.68,8.54,20.0094,304820.02,1496903.947,43.4915,44.832333333333324
688146.SH,2026-04-07,51.98,54.5,50.98,53.27,51.22,2.05,4.0023,307307.51,1617768.034,43.948,45.04683333333334
688146.SH,2026-04-08,52.81,54.47,50.7,54.47,53.27,1.2,2.2527,237179.78,1243912.237,44.4425,45.251666666666665
688146.SH,2026-04-09,54.47,60.98,54.01,57.51,54.47,3.04,5.5811,237274.89,1373843.006,45.048,45.50066666666667
688146.SH,2026-04-10,58.66,62.74,58.66,60.45,57.51,2.94,5.1122,216085.44,1316245.751,45.768,45.76166666666667
688146.SH,2026-04-13,61.05,64.67,59.8,60.83,60.45,0.38,0.6286,200703.93,1229077.995,46.516999999999996,46.01716666666666
688146.SH,2026-04-14,60.84,62.42,59.2,61.11,60.83,0.28,0.4603,155177.5,947445.396,47.3445,46.291333333333334
688146.SH,2026-04-15,61.8,62.41,59.7,60.14,61.11,-0.97,-1.5873,137164.48,831671.464,48.241499999999995,46.539
688146.SH,2026-04-16,60.0,66.0,58.12,63.51,60.14,3.37,5.6036,203479.84,1286379.193,49.31099999999999,46.87116666666667
688146.SH,2026-04-17,64.06,66.52,63.25,64.31,63.51,0.8,1.2596,162058.13,1048480.057,50.414500000000004,47.220333333333336
