ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma20,ma60,trade_date_str,rsi,dif,dea,macd_hist,bb_mid,bb_upper,bb_lower,k,d,j
688146.SH,2025-10-22,39.55,39.99,39.12,39.5,40.03,-0.53,-1.324,25135.54,99268.374,42.4975,39.157833333333336,2025-10-22,42.65047006653749,-0.19915338054772747,0.46664576815107295,-1.3315982973976008,42.497499999999995,46.33586519476995,38.65913480523004,17.136435452745246,24.434492127705195,-21.89417002487984
688146.SH,2025-10-23,39.5,39.77,38.68,39.51,39.5,0.01,0.0253,26108.6,102014.095,42.3625,39.321,2025-10-23,42.69812487313528,-0.3160093616243742,0.31011474219598356,-1.2522482076407155,42.3625,46.42672064776072,38.29827935223928,16.436367596516142,21.768450617308844,-15.996249062378105
688146.SH,2025-10-24,39.76,40.64,39.76,40.48,39.51,0.97,2.4551,38807.48,156045.746,42.282,39.494166666666665,2025-10-24,47.274813739063056,-0.32658302928699356,0.18277518789938813,-1.0187164343727635,42.282,46.4318235853436,38.13217641465639,22.109994754554727,21.88229866305747,0.6830882744917801
688146.SH,2025-10-27,40.5,41.49,37.69,38.89,40.48,-1.59,-3.9279,108308.77,423501.438,42.0735,39.63583333333334,2025-10-27,41.433102531141884,-0.45798310475728954,0.05462352936805258,-1.0252132682506843,42.073499999999996,46.4704093212105,37.676590678789495,22.660788582244415,22.14179530278645,1.5569798383739055
688146.SH,2025-10-28,38.7,45.38,38.21,45.0,38.89,6.11,15.711,114918.96,470097.088,42.21,39.88033333333333,2025-10-28,61.24924737604898,-0.06830529374675365,0.030037764745091337,-0.19668611698368998,42.209999999999994,46.797947597553296,37.62205240244669,46.793364906585126,30.35898517071934,49.30313920759737
688146.SH,2025-10-29,48.0,52.4,47.02,47.2,45.0,2.2,4.8889,266624.53,1309303.585,42.397000000000006,40.16,2025-10-29,65.74367026862612,0.4132748179423871,0.1066851753845505,0.6131792851156732,42.397000000000006,47.477866482257404,37.31613351774261,52.745542613907425,37.821170985115366,44.77311488637619
688146.SH,2025-10-30,47.0,52.0,47.0,48.81,47.2,1.61,3.411,246311.94,1220957.952,42.541,40.468,2025-10-30,68.61270351235632,0.914304537152482,0.2682090477381368,1.2921909788286905,42.541,48.176451319898675,36.90554868010132,60.36197289148326,45.33477162057133,45.08160381273578
688146.SH,2025-10-31,48.35,49.7,45.88,45.88,48.81,-2.93,-6.0029,167177.74,788687.369,42.58,40.738166666666665,2025-10-31,58.93840360845565,1.0626975702982477,0.42710675225015904,1.2711816360961774,42.58,48.300176662711735,36.85982333728826,58.80011879599905,49.82322067904724,26.93069435085542
688146.SH,2025-11-03,45.13,48.5,43.21,46.88,45.88,1.0,2.1796,165689.07,747808.061,42.724,41.02433333333333,2025-11-03,60.96153819537752,1.2466214843549182,0.5910096986711109,1.3112235713676146,42.724000000000004,48.73243056835454,36.71556943164547,60.02491490999983,53.2237854226981,20.403388461905166
688146.SH,2025-11-04,46.39,47.35,45.08,45.9,46.88,-0.98,-2.0904,95029.6,436817.859,42.8295,41.28383333333333,2025-11-04,57.948254229070535,1.2983382662015472,0.7324754121771981,1.1317257080486982,42.8295,48.98894110588311,36.6700588941169,58.62073411856322,55.0227683213198,10.79389739173024
688146.SH,2025-11-05,43.98,46.9,43.58,45.51,45.9,-0.39,-0.8497,102199.65,460738.709,42.907,41.53483333333334,2025-11-05,56.74614556714769,1.2929501235890584,0.8445703544595702,0.8967595382589764,42.907,49.1645566107581,36.649443389241895,56.80086104165261,55.615465894764064,3.5561854406656437
688146.SH,2025-11-06,45.5,46.29,44.38,44.75,45.51,-0.76,-1.67,89335.24,403894.799,42.927,41.7315,2025-11-06,54.378773879764225,1.2133673893645849,0.9183297614405732,0.5900752558480233,42.927,49.20649411304683,36.64750588695317,53.86542786869295,55.03211988607369,-3.5000760521422194
688146.SH,2025-11-07,44.1,47.47,43.81,45.99,44.75,1.24,2.7709,119230.58,549386.186,43.08,41.958,2025-11-07,57.4945582330257,1.2361060746375543,0.9818850240799695,0.5084421011151696,43.08,49.50717913076551,36.65282086923449,54.186066312274036,54.75010202814046,-1.6921071475992449
688146.SH,2025-11-10,46.41,47.28,45.05,45.45,45.99,-0.54,-1.1742,110828.25,511388.247,43.1625,42.136,2025-11-10,55.71016072419049,1.1967576819068242,1.0248595556453406,0.3437962525229672,43.1625,49.67044453766037,36.65455546233963,44.24881751249898,51.24967385625996,-21.002569031282945
688146.SH,2025-11-11,45.9,46.19,44.3,44.6,45.45,-0.85,-1.8702,82727.54,372861.547,43.310500000000005,42.29283333333333,2025-11-11,52.92569859593849,1.0844846370960681,1.036784571935486,0.09540013032116423,43.310500000000005,49.80727968810625,36.81372031189376,34.77035312361517,45.75656694537837,-32.95864146528956
688146.SH,2025-11-12,44.3,44.6,42.44,43.48,44.6,-1.12,-2.5112,78881.82,340273.758,43.371500000000005,42.3945,2025-11-12,49.420611612135616,0.8948178967218752,1.0083912368927639,-0.22714668034177743,43.371500000000005,49.849632528177544,36.893367471822465,27.955258372584577,39.82279742111377,-35.60261714558759
688146.SH,2025-11-13,43.2,45.99,42.99,44.35,43.48,0.87,2.0009,83413.43,374435.279,43.543,42.386,2025-11-13,52.07567050974793,0.8054229531612194,0.967797580146455,-0.3247492539704713,43.543,49.928820146807205,37.157179853192794,29.142889520116906,36.26282812078148,-21.35981580199372
688146.SH,2025-11-14,43.97,43.97,42.01,42.02,44.35,-2.33,-5.2537,75520.91,322856.324,43.673,42.40916666666666,2025-11-14,45.228185330577254,0.5403366246944756,0.8823053890560592,-0.683937528723167,43.673,49.80627799364816,37.539722006351845,19.489643074461362,30.67176643867477,-33.546370092640224
